-0.0002496	0.0007601
-0.0003120	0.0009501
-0.0001220	0.0010124
0.0078566	0.0033954
0.0161430	0.0054055
0.0245240	0.0069748
0.0329763	0.0080989
0.0414763	0.0087746
0.0500000	0.0090000
0.0585237	0.0087746
0.0670237	0.0080989
0.0754760	0.0069748
0.0838570	0.0054055
0.0921434	0.0033954
0.1001220	0.0010124
0.1003120	0.0009501
0.1002496	0.0007601
0.0997504	-0.0007601
0.0996880	-0.0009501
0.0994979	-0.0008878
0.0916207	0.0014649
0.0834371	0.0034501
0.0751600	0.0049999
0.0668125	0.0061100
0.0584180	0.0067774
0.0500000	0.0070000
0.0415820	0.0067774
0.0331875	0.0061100
0.0248400	0.0049999
0.0165629	0.0034501
0.0083793	0.0014649
0.0005021	-0.0008878
0.0003120	-0.0009501
0.0002496	-0.0007601
-0.0002496	0.0007601
